Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN23596,2,0,2,3,Meal Plan 1,0,Room_Type 1,188,2018,8,26,Online,0,0,0,90.95,0,Canceled
INN12127,1,0,1,4,Not Selected,0,Room_Type 1,20,2018,7,11,Online,0,0,0,139.0,0,Canceled
INN06852,2,0,0,4,Meal Plan 1,0,Room_Type 1,36,2017,10,21,Online,0,0,0,96.3,2,Not_Canceled
INN18232,2,0,0,1,Not Selected,0,Room_Type 1,77,2018,5,7,Online,0,0,0,116.1,1,Not_Canceled
INN35817,1,0,1,1,Meal Plan 1,0,Room_Type 1,32,2018,7,18,Offline,0,0,0,85.0,0,Not_Canceled
INN17719,2,0,1,2,Meal Plan 1,0,Room_Type 2,1,2017,8,14,Complementary,0,0,0,0.0,0,Not_Canceled
INN25164,2,0,1,2,Meal Plan 1,0,Room_Type 1,35,2018,10,28,Online,0,0,0,129.0,1,Not_Canceled
INN23345,2,0,0,1,Not Selected,0,Room_Type 1,19,2018,9,24,Online,0,0,0,149.0,1,Canceled
INN33007,2,0,2,5,Meal Plan 1,0,Room_Type 1,39,2018,11,15,Online,0,0,0,97.4,1,Not_Canceled
INN25330,2,0,2,1,Meal Plan 1,0,Room_Type 4,72,2018,5,1,Online,0,0,0,140.4,1,Canceled
INN27641,2,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,101.5,0,Not_Canceled
INN05234,1,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,95.0,0,Not_Canceled
INN06998,2,0,0,2,Meal Plan 1,0,Room_Type 1,57,2018,9,21,Offline,0,0,0,101.52,0,Not_Canceled
INN35567,2,0,0,3,Meal Plan 1,0,Room_Type 1,192,2018,8,9,Online,0,0,0,94.5,1,Canceled
INN00707,1,1,2,3,Meal Plan 2,0,Room_Type 1,76,2018,4,24,Offline,0,0,0,98.5,1,Not_Canceled
INN03492,2,0,0,5,Not Selected,0,Room_Type 1,6,2018,3,22,Online,0,0,0,88.92,0,Not_Canceled
INN15340,0,2,2,5,Meal Plan 1,0,Room_Type 2,40,2018,9,4,Online,0,0,0,106.9,0,Canceled
INN04574,1,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,95.0,0,Not_Canceled
INN13248,1,0,1,2,Meal Plan 1,0,Room_Type 1,0,2018,3,7,Offline,0,0,0,75.0,0,Not_Canceled
INN15824,2,0,0,4,Meal Plan 1,0,Room_Type 4,30,2018,11,15,Online,0,0,0,96.9,1,Canceled
INN33089,2,1,1,1,Meal Plan 1,0,Room_Type 1,173,2018,8,15,Online,0,0,0,121.5,0,Canceled
INN24091,2,0,0,1,Meal Plan 1,0,Room_Type 1,152,2018,8,6,Online,0,0,0,114.3,1,Canceled
INN07055,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,2,6,Online,0,0,0,79.0,0,Not_Canceled
INN05581,2,0,0,1,Meal Plan 1,0,Room_Type 1,93,2018,4,15,Online,0,0,0,90.95,0,Not_Canceled
INN28015,1,0,0,1,Meal Plan 1,0,Room_Type 1,15,2018,2,2,Corporate,0,0,0,65.0,0,Not_Canceled
INN03152,2,0,1,2,Meal Plan 1,0,Room_Type 1,69,2018,6,17,Online,0,0,0,126.9,0,Not_Canceled
INN06618,2,0,2,3,Not Selected,0,Room_Type 1,108,2018,12,24,Online,0,0,0,97.0,1,Canceled
INN35701,2,0,1,3,Meal Plan 1,0,Room_Type 1,36,2018,12,26,Online,0,0,0,102.0,0,Canceled
INN11992,2,0,0,3,Meal Plan 1,0,Room_Type 1,44,2018,2,17,Offline,0,0,0,75.0,0,Not_Canceled
INN04023,2,0,1,2,Meal Plan 1,0,Room_Type 1,79,2018,3,28,Online,0,0,0,87.3,1,Not_Canceled
INN30811,2,0,2,5,Meal Plan 1,0,Room_Type 4,152,2018,7,21,Online,0,0,0,114.63,2,Canceled
INN25651,1,0,0,2,Meal Plan 2,0,Room_Type 1,68,2017,9,29,Offline,0,0,0,58.0,0,Not_Canceled
INN02608,2,0,0,3,Not Selected,0,Room_Type 1,10,2018,6,21,Online,0,0,0,112.33,1,Not_Canceled
INN21672,2,0,1,4,Meal Plan 1,0,Room_Type 1,336,2018,9,21,Offline,0,0,0,78.0,0,Not_Canceled
INN11631,2,0,0,2,Not Selected,1,Room_Type 1,9,2018,10,6,Online,0,0,0,149.0,1,Not_Canceled
INN09119,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,11,29,Offline,0,0,0,75.0,0,Not_Canceled
INN32831,2,0,2,3,Meal Plan 1,0,Room_Type 1,224,2018,8,21,Online,0,0,0,90.95,1,Not_Canceled
INN09183,2,0,0,3,Not Selected,0,Room_Type 1,134,2018,5,17,Online,0,0,0,94.5,0,Canceled
